Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,10.850000,10.970000,10.360000,10.580000,10.580000,742700
2020-12-17,10.730000,11.160000,10.490000,10.810000,10.810000,944000
2020-12-18,10.840000,10.980000,9.820000,9.990000,9.990000,1296800
2020-12-21,9.680000,10.190000,9.560000,10.010000,10.010000,730200
2020-12-22,10.510000,12.170000,10.160000,12.040000,12.040000,3324700
2020-12-23,12.130000,13.840000,12.100000,12.820000,12.820000,2774100
2020-12-24,12.900000,12.950000,11.930000,12.210000,12.210000,886700
2020-12-28,12.380000,12.420000,10.750000,10.800000,10.800000,1310800
2020-12-29,10.960000,11.000000,9.720000,9.870000,9.870000,2109300
2020-12-30,9.880000,10.190000,9.720000,9.740000,9.740000,771400
2020-12-31,9.820000,9.920000,9.470000,9.740000,9.740000,500920
